week_start,digital_catchuptv_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-equity_spends,digital_directbuying_bledina_brand-equity_spends,digital_keywordtargeting_bledina_brand-equity_spends,digital_nativeads_bledina_brand-equity_spends,digital_programmatic_bledina_brand-equity_spends,digital_sea_bledina_brand-equity_spends,digital_social_bledina_brand-equity_spends,press_equity_bledina_brand-equity_spends,tv_equity_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-range_spends,digital_directbuying_bledina_brand-range_spends,digital_keywordtargeting_bledina_brand-range_spends,digital_programmatic_bledina_brand-range_spends,digital_sea_bledina_brand-range_spends,digital_social_bledina_brand-range_spends,press_product_bledina_brand-range_spends,app_total_bledina_brand_visits,crm_automatic_bledina_brand_emails,crm_event_bledina_brand_emails,website_total_bledina_brand_visits
18-09-2017,0,0,4001.707126,0,2420.689968,0.035194744,3813.12,0,0,2482.84,0,0,0,0,0,0,0,0,69505,20398,86014
25-09-2017,0,0,2.660986011,0,2656.25764,0.66905047,3439.55,0,0,2482.84,0,0,0,0,0,0,0,0,24510,9114,100296
02-10-2017,0,0,587.4120338,0,2869.392139,1901.520798,3739.17,0,34650,2482.84,0,0,0,0,0,0,0,0,41437,0,119382
09-10-2017,0,0,660.3615408,0,2909.617404,7644.387393,4887.77,0,0,2482.84,0,0,0,0,0,0,0,0,53938,0,102224
16-10-2017,0,0,638.4004863,0,2782.592945,14182.64799,5494.63,0,5000,8754.92,0,0,0,0,0,0,0,0,42846,0,121321
23-10-2017,0,0,637.4220502,0,2673.096653,27869.75457,4846.96,0,0,0,0,0,0,0,0,0,0,0,23317,0,121318
30-10-2017,0,0,1396.650652,0,2897.787942,27169.18782,4656.09,0,9000,804.9,0,0,0,0,0,0,0,0,45558,0,111672
06-11-2017,0,0,747.580879,0,2603.923765,28040.98704,3674.51,0,0,3433.01,0,0,0,0,0,0,0,0,58482,0,94391
13-11-2017,0,0,1346.852254,0,2755.747712,15438.39554,4480.59,5.231010661,0,3433.01,0,0,0,0,0,0,0,0,31427,19969,83567
20-11-2017,0,0,1893.468219,0,3000.708693,16783.57039,5038.85,12164.0348,0,93531.97,0,0,0,0,0,0,0,0,85366,33855,92143
27-11-2017,0,0,2181.541359,0,3405.013276,13407.32717,5350.89,12437.90964,0,126165.33,0,0,0,0,0,0,0,0,24199,1408,92544
04-12-2017,0,7627.137474,1793.463835,0,3774.191774,1067.101904,5174.74,10980.97553,0,117727.2,0,0,0,0,0,0,0,0,93116,44820,81980
11-12-2017,0,9178.584405,1612.993642,0,3681.565094,19.27798271,5138.27,6436.79042,0,137429.77,0,0,0,0,0,0,0,0,19597,0,84847
18-12-2017,0,8855.174047,2143.169778,0,4637.773524,0,3824.19,5460.604103,0,2488.15,0,0,0,0,0,0,0,0,53499,0,70816
25-12-2017,0,9335.518551,1470.712654,0,5467.082289,0.175043463,3596.8,8203.457329,0,0,0,0,0,0,0,0,0,0,21055,0,79513
01-01-2018,0,2.706345983,1605.94226,0,35.42062967,0.470406521,3697.36,24.98717944,0,0,0,0,0,0,0,0,0,0,73251,21881,59817
08-01-2018,0,0.449623074,1757.861781,0,18.51398903,0.813621316,3664.51,0,0,2009.55,0,0,0,0,0,0,0,0,62352,0,64658
